"number","short_description","u_approving_sdm","start_date","state","assigned_to","approval","assignment_group","backout_plan","location","sys_created_on","category","ci_class","u_closure_code","closed_at"
"CHG0526426","Global - PH1, PS2 - Password Complexity Update - DXC Parent change","Naqvi, Masooma","2025-01-11 22:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Rever the parameter values
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?
1 hours (YES)","20005 - Azure Europe West","2024-12-12 09:36:27","Hardware","All Servers","Successful","2025-01-30 09:56:27"
"CHG0526528","EMEA | SRQ0054150\SRQ0054154: decommission the server BLSERV-NT1\FRBLO-FP01-Yell test and begin decommission-Single PSP DXC change","Gauthier, Guillaume","2025-01-14 23:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-: Power on the server again to stop the yell test.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-: 3 hours (Yes).","00202 - Blois - France","2024-12-19 04:18:48","Hardware","All Servers","Successful","2025-01-31 04:50:20"
"CHG0526662","EMEA: ITA server CPU & RAM need to increase-Single PSP DXC change","","2025-01-15 03:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Keep the existing space

Q. What is the duration required to perform the back out plan and is it included in the scheduled window?  
20 mins (Yes)
","10671 - Amsterdam CoLocation","2025-01-09 06:16:55","Hardware","Windows Server","Successful","2025-01-30 12:20:12"
"CHG0526637","EMEA | EOL Project: decommission the server NLNHSRKT-DB05/NLNHSRKP-AP71-Yell test and begin decommission-Single PSP DXC change","Chava, Sri","2025-01-15 09:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-: Power on the server again to stop the yell test.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-: 3 hours (Yes).","10671 - Amsterdam CoLocation","2025-01-07 09:16:59","Hardware","All Servers","Successful","2025-01-31 04:41:15"
"CHG0526230","EMEA - Delphidrive to PHINIA Domain Migration - 00202 - Blois - France - NetApp - Multi PSP TCS Child Change","Gauthier, Guillaume","2025-01-15 11:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
1 hr (yes)","00202 - Blois - France","2024-11-29 10:33:14","Hardware","All Servers","Successful","2025-03-03 02:22:08"
"CHG0526231","EMEA - Delphidrive to PHINIA Domain Migration - 00202 - Blois - France - NetApp - Multi PSP Phinia Child Change","Gauthier, Guillaume","2025-01-15 11:00:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
1 hr (yes)","00202 - Blois - France","2024-11-29 10:33:52","Hardware","All Servers","Successful","2025-02-14 08:22:05"
"CHG0526638","EMEA | SRQ0054154: Put the Avamar backup server BLSVSAVR1 to production-Single PSP DXC change","Gauthier, Guillaume","2025-01-15 23:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-: Keep the server in pre-prod status.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-: 3 hours (Yes).","00202 - Blois - France","2025-01-07 09:17:31","Hardware","All Servers","Successful","2025-01-31 04:37:06"
"CHG0526604","PEN TEST - Enterprise: Uninstallation of Old Version of McAfee Agent that is currently Unsupported & Causing Security Threats-Multi PSP-DXC Parent change","Chava, Sri, Gavara, Naveen, Gauthier, Guillaume","2025-01-17 21:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Ans-  Back out is not required as we are uninstalling unsupported older version of McAfee tool which cannot be reinstalled & Security team will deploy new support security tool.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  NA","00202 - Blois - France","2025-01-03 14:31:26","Hardware","Windows Server","Successful","2025-01-31 02:19:30"
"CHG0526575","Enterprise- Pre-Approved Apply MS Security patches (January -2025) on DT TestDEV Servers (2nd weekend) - Reboot required - DXC Parent Change","","2025-01-17 21:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Ans-  Upon RCA if required patches to be uninstalled
Notify the customer and stakeholders and update the RCA details in the Change Tasks.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  
Minimum : 30 Min.
Maximum : Depends on the unforeseen issue. This might extend out side of the change window. this would happen in a very rare scenario and will be limited to one or two servers only.","20005 - Azure Europe West","2024-12-30 19:49:16","Hardware","Windows Server","Successful","2025-01-31 02:27:05"
"CHG0525640","PEN TEST - Enterprise: Uninstallation of Old Version of McAfee Agent that is currently Unsupported & Causing Security Threats-Multi PSP-TCS child  change","Chava, Sri, Gauthier, Guillaume, Gavara, Naveen","2025-01-17 21:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Ans-  Back out is not required as we are uninstalling unsupported older version of McAfee tool which cannot be reinstalled & Security team will deploy new support security tool.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  NA","00202 - Blois - France","2024-10-20 20:04:08","Hardware","Windows Server","Successful","2025-02-03 06:49:38"
"CHG0525972","PEN TEST - Enterprise: Uninstallation of Old Version of McAfee Agent that is currently Unsupported & Causing Security Threats-Multi PSP-Phinia Child change","Chava, Sri, Gauthier, Guillaume, Gavara, Naveen","2025-01-17 21:30:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Ans-  Back out is not required as we are uninstalling unsupported older version of McAfee tool which cannot be reinstalled & Security team will deploy new support security tool.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  NA","00202 - Blois - France","2024-11-13 06:39:00","Hardware","Windows Server","Successful","2025-01-31 07:18:34"
"CHG0526348","Global - Need to migrate Easy Archive (production) application to PHINIA domain - DXC Child Change","Chava, Sri","2025-01-17 23:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
In case of Rollback we will follow below steps:-

1.Notify Stakeholders: TCS Application Team will inform all stakeholders in case of back out scenario.
2.Stop Services and Applications: TCS Application Team
3.Revert Domain Changes: DXC WIntel Team
4.Restore Application Configuration: TCS Application Team
5.Restore Database Connection: DXC DB Team
6.Redeploy Application: TCS Application Team
7.Test Connectivity and Functionality: TCS Application Team and DXC DB Team
8.Monitor Systems: TCS Application Team and DXC DB Team
9.Notify Stakeholders: TCS Application team will inform all stakeholders once the rollback is successfully completed.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
4 hrs. Yes.","10671 - Amsterdam CoLocation","2024-12-06 01:47:29","Hardware","Windows Server","Successful","2025-01-31 04:02:22"
"CHG0526423","Global:  QE2 Refresh from PH1 - DXC Parent change","","2025-01-20 01:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
System Restore
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
4 Hours, yes","20005 - Azure Europe West","2024-12-12 08:36:16","Hardware","All Servers","Successful","2025-01-30 10:04:33"
"CHG0526462","Global:  QE2 Refresh from PH1 - TCS Child change","","2025-01-20 01:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
System Restore
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
4 Hours, yes","20005 - Azure Europe West","2024-12-13 02:14:25","Hardware","All Servers","Successful","2025-03-03 07:25:47"
"CHG0526670","Enterprise: Configure Ldap to Trace Application V5 & V6 - DXC Child change","Chava, Sri","2025-01-20 06:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Ans - remove the configuration change

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans - all included  with the complete change window. 10 mns
","10671 - Amsterdam CoLocation","2025-01-09 10:24:29","Hardware","All Servers","Successful","2025-01-31 02:29:42"
"CHG0526669","Enterprise: Configure Ldap to Trace Application V5 & V6 - PHINIA Parent change","Chava, Sri","2025-01-20 06:00:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","
Q. Mention step by step procedure of back out plan.  
Ans - remove the configuration change

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans - all included  with the complete change window. 10 mns
","10671 - Amsterdam CoLocation","2025-01-09 10:19:14","Hardware","Computer","Successful","2025-01-28 07:21:30"
"CHG0526802","Enterprise | SRQ0054518 and EOL: Arrange network cleanup for decommissioned server/device - Parent change for DXC","","2025-01-23 07:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Ans: Add the DNS entry back.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  1 hour (Yes)","10671 - Amsterdam CoLocation","2025-01-21 05:25:11","Hardware","All Servers","Successful","2025-01-31 04:39:26"
"CHG0526803","Enterprise | SRQ0054518 and EOL: Arrange network cleanup for decommissioned server/device - Child change for TCS LAN","","2025-01-23 07:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Ans: Add the DNS entry back.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  1 hour (Yes)","10671 - Amsterdam CoLocation","2025-01-21 05:29:56","Hardware","All Servers","Successful","2025-02-10 05:18:48"
"CHG0526432","EMEA: SRQ0054803 - To Back server DENILFT-FP02 up and configure at new location Blois - DXC Single PSP change.","","2025-01-24 03:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
     Delete the backups taken.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","00202 - Blois - France","2024-12-12 10:25:14","Hardware","All Servers","Successful","2025-02-24 10:58:15"
"CHG0526232","EMEA - Delphidrive to PHINIA Domain Migration - 10671 - Amsterdam CoLocation - ESXi - Multi PSP-DXC Parent Change","Chava, Sri","2025-01-24 12:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
1 hr (yes)","10671 - Amsterdam CoLocation","2024-11-29 10:34:25","Hardware","All Servers","Successful","2025-01-31 02:03:36"
"CHG0526233","EMEA - Delphidrive to PHINIA Domain Migration - 10671 - Amsterdam CoLocation - ESXi - Multi PSP TCS Child Change","Chava, Sri","2025-01-24 12:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
1 hr (yes)","10671 - Amsterdam CoLocation","2024-11-29 10:35:00","Hardware","All Servers","Successful","2025-02-10 05:25:23"
"CHG0526350","Enterprise: Need to migrate GPFS application  to PHINIA domain - DXC Child Change","Chava, Sri","2025-01-24 23:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
DXC team will revert the changes.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
5hrs. Yes.","10671 - Amsterdam CoLocation","2024-12-06 01:51:57","Hardware","All Servers","Successful","2025-01-31 04:31:31"
"CHG0526431","EMEA | SRQ0054761 - ""to upgrade NLNHSRK-AP130 to latest Windows OS Server Version 2022"" -Single PSP DXC change","Chava, Sri","2025-01-25 05:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Fall back the upgrade and keep the source server as-is.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
1.5 Hours (Yes)
","10671 - Amsterdam CoLocation","2024-12-12 10:24:35","Hardware","All Servers","Successful","2025-01-31 02:10:06"
"CHG0526666","EMEA - Request to point local PHINIA DNS Server - STHADDS1  in all the VLAN scopes - TCS Single PSP","Proyer, Damon","2025-01-27 05:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Ans. We will remove Phinia.local domain server and configure with existing delphidrive domain. If any issues occur.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans. 20 minutes, yes","00282 - Stonehouse - United Kingdom","2025-01-09 07:22:55","Network","IP Switch","Successful","2025-02-06 06:02:27"
"CHG0526881","Global - CD: 8300000370, SE2 only - LTIM Profiler tool - Single PSP DXC Change","Naqvi, Masooma","2025-01-28 07:15:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Not required, only 3rd party transport import. If System is impacted, it is possible to restore the system from the earlier backup.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?
30 mins. (Yes)
","20005 - Azure Europe West","2025-01-27 09:15:59","Hardware","All Servers","Successful","2025-01-30 10:09:05"
"CHG0526639","EMEA | SRQ0054518: decommission server NLNHSRKD-DB03\NLNHSRKP-AP11-Yell test and begin decommission-Single PSP DXC change","Chava, Sri","2025-01-28 23:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-: Power on the server again to stop the yell test.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-: 3 hours (Yes).","10671 - Amsterdam CoLocation","2025-01-07 09:17:58","Hardware","All Servers","Successful","2025-02-25 05:24:55"
"CHG0526676","EMEA - Delphidrive to PHINIA Domain Migration - 10671 - Amsterdam CoLocation - Multi PSP PHINIA Child Change","Chava, Sri","2025-01-29 12:00:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10671 - Amsterdam CoLocation","2025-01-10 04:35:49","Hardware","All Servers","Successful","2025-02-25 02:46:27"
"CHG0526675","EMEA - Delphidrive to PHINIA Domain Migration - 10671 - Amsterdam CoLocation - Multi PSP TCS Child Change","Chava, Sri","2025-01-29 12:00:00","Closed Complete","Gajja, Raveena","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10671 - Amsterdam CoLocation","2025-01-10 04:34:41","Hardware","All Servers","Successful","2025-03-03 06:46:32"
"CHG0526674","EMEA - Delphidrive to PHINIA Domain Migration - 10671 - Amsterdam CoLocation - Multi PSP DXC Parent Change","Chava, Sri","2025-01-29 12:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2 hr (yes)","10671 - Amsterdam CoLocation","2025-01-10 04:33:59","Hardware","All Servers","Successful","2025-02-24 11:00:24"
"CHG0526847","Enterprise: CCU Monthly - Database Backup and Restore  & Provide temporary admin rights to server AZUREUW-DB018 - Single PSP DXC change","","2025-01-31 07:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
- Copy last used database.
- Replace new database with previous one.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
3 Hrs, Included.","20005 - Azure Europe West","2025-01-24 05:03:38","Hardware","All Servers","Successful","2025-02-25 03:13:54"
"CHG0526891","EMEA - Delphidrive to PHINIA Domain Migration - 10671 - Amsterdam CoLocation - ESXi - Multi PSP TCS Child Change","Chava, Sri","2025-01-31 11:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2hr (yes)","10671 - Amsterdam CoLocation","2025-01-28 06:25:25","Hardware","All Servers","Successful","2025-03-03 06:58:33"
"CHG0526890","EMEA - Delphidrive to PHINIA Domain Migration - 10671 - Amsterdam CoLocation - ESXi - Multi PSP-DXC Parent Change","Chava, Sri","2025-01-31 11:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Add the Host back to the delphdrive.com
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
2hr (yes)","10671 - Amsterdam CoLocation","2025-01-28 06:21:10","Hardware","All Servers","Successful","2025-02-25 02:21:35"
"CHG0526726","PEN TEST - EMEA: Uninstallation of Old Version of McAfee Agent that is currently Unsupported & Causing Security Threats-Multi PSP- PHINIA Child change","Chava, Sri","2025-01-31 21:30:00","Closed Complete","Veerubhotla, Srinivasa","Approved","Change Coordinator_PHINIA","Q. Mention step by step procedure of back out plan.  
Ans-  As wintel team is requested uninstalling unsupported older version of McAfee tool by PHINIA security team & post uninstallation which cannot be reinstalled & Security team will deploy new support security tool.

Note:- If OS restore is required Wintel team will take VMware end OS level snapshot if OS restore is required with 3 days / 72 hours post change implementation.  And also engaged DXC hosting Storage teams for manual snapshots backup from storage & DXC Hosting BUR team for physical servers backup support.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  NA","10671 - Amsterdam CoLocation","2025-01-14 12:49:03","Hardware","Windows Server","Successful","2025-02-17 02:37:19"
"CHG0526724","PEN TEST - EMEA: Uninstallation of Old Version of McAfee Agent that is currently Unsupported & Causing Security Threats-Multi PSP-DXC Parent change","Chava, Sri","2025-01-31 21:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Ans-  As wintel team is requested uninstalling unsupported older version of McAfee tool by PHINIA security team & post uninstallation which cannot be reinstalled & Security team will deploy new support security tool.

Note:- If OS restore is required Wintel team will take VMware end OS level snapshot if OS restore is required with 3 days / 72 hours post change implementation.  And also engaged DXC hosting Storage teams for manual snapshots backup from storage & DXC Hosting BUR team for physical servers backup support.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  2 hours (Yes).","10671 - Amsterdam CoLocation","2025-01-14 12:45:27","Hardware","Windows Server","Successful","2025-02-25 02:15:12"
"CHG0526581","Enterprise: Pre- Approved: Apply MS Security patches (January - 2025) on Production Servers (4th weekend)- Reboot required - DXC Parent Change","","2025-01-31 21:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-  Upon RCA if required patches to be uninstalled
Notify the customer and stakeholders and update the RCA details in the Change Tasks.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  
Minimum : 30 Min.
Maximum : Depends on the unforeseen issue. This might extend out side of the change window. this would happen in a very rare scenario and will be limited to one or two servers only.","20005 - Azure Europe West","2024-12-30 20:15:54","Hardware","Windows Server","Successful","2025-02-26 08:05:32"
"CHG0526582","Enterprise: Pre- Approved: Apply MS Security patches (January - 2025) on Production Servers (4th weekend)- Reboot required - TCS child change","","2025-01-31 21:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Ans-  Upon RCA if required patches to be uninstalled
Notify the customer and stakeholders and update the RCA details in the Change Tasks.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  
Minimum : 30 Min.
Maximum : Depends on the unforeseen issue. This might extend out side of the change window. this would happen in a very rare scenario and will be limited to one or two servers only.","20005 - Azure Europe West","2024-12-30 20:20:41","Software","ADM Applications","Successful","2025-03-17 05:51:29"
"CHG0525973","PEN TEST - EMEA: Uninstallation of Old Version of McAfee Agent that is currently Unsupported & Causing Security Threats-Multi PSP-TCS Child change","Chava, Sri, El Rawas, Haissam","2025-01-31 21:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Ans-  As wintel team is requested uninstalling unsupported older version of McAfee tool by PHINIA security team & post uninstallation which cannot be reinstalled & Security team will deploy new support security tool.

Note:- If OS restore is required Wintel team will take VMware end OS level snapshot if OS restore is required with 3 days / 72 hours post change implementation.  And also engaged DXC hosting Storage teams for manual snapshots backup from storage & DXC Hosting BUR team for physical servers backup support.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  NA","10671 - Amsterdam CoLocation","2024-11-13 06:40:15","Software","ADM Applications","Successful","2025-03-03 06:50:21"
"CHG0526982","DXC Change- ESXI Patch update( ESXi 7.0 Update 3r -build number -24411414)_VMware ESXi 7.0 / 8.0 Multiple Vulnerabilities (VMSA-2024-0006)-Single PSP DXC change","Chava, Sri","2025-02-02 09:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Reboot the ESXI

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
yes, 30min
","10671 - Amsterdam CoLocation","2025-01-31 01:18:16","Hardware","ESX Server","Successful","2025-02-25 02:26:34"
"CHG0526756","Enterprise | EOL Project: Decommission few EOL server-yell test and begin decommission-Single PSP DXC change","Chava, Sri, Zhou, Perry, Castro, Juan Raul, Wojcik, Rafal","2025-02-04 23:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-: Power on the server again to stop the yell test.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-: 3 hours (Yes).","10671 - Amsterdam CoLocation","2025-01-16 05:46:35","Hardware","All Servers","Successful","2025-02-25 05:55:29"
"CHG0527001","EMEA: PowerProtect Data Manager Appliance upgrade to latest version -PLRZEP-DDM1 - Single PSP DXC change","","2025-02-05 03:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Roll back to current version

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
3 hours, it is included in change window","20030 - Rzeszow - Poland","2025-02-02 11:16:01","Hardware","All Servers","Successful","2025-02-25 11:13:20"
